,Unnamed: 0_x,video_id,views_x,subscriberCount,category_id_1,category_id_2,category_id_10,category_id_15,category_id_17,category_id_19,category_id_20,category_id_22,category_id_23,category_id_24,category_id_25,category_id_26,category_id_27,category_id_28,category_id_29,Unnamed: 0_y,Unnamed: 0.1,trending_date,title,channel_title,category_id,tags,views_y,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,publish_date,days_to_trending,dislike_percentage,like_percentage,sentence_importance
56,30,9D2iNVZ9kJk,5815,16992.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3830,4087,2018-02-07,無許可撮影？2018年もジャッカルブースが熱いバイ！メガポンパドール、川島スィッシャー、マーモプロップ、ハタチュー、スピンガヴァチョフロッグ紹介！,バス釣り ロッドマンTV in遠賀川,17,"バス釣り|""遠賀川""|""ロッドマン""|""スピンガヴァチョフロッグ""|""ハタチュー""|""マーモプロップ""|""メガポンパドール""|""川島スィッシャー""|""秦拓馬""|""小野俊郎""|""ジャッカル""|""ダウザー俺達。""|""大阪フィッシングショー""",5815,48,19,17.0,https://i.ytimg.com/vi/9D2iNVZ9kJk/default.jpg,False,False,False,2018-02-06,1.0,0.2835820895522388,0.7164179104477613,3.9166793705860443
60,32,wbSwFU6tY1c,14816949,2513320.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19099,20487,2018-02-08,Falcon Heavy Test Flight,SpaceX,28,[none],14816949,300313,7802,30313.0,https://i.ytimg.com/vi/wbSwFU6tY1c/default.jpg,False,False,False,2018-02-06,2.0,0.025321714294987262,0.9746782857050128,1.9991994039937455
64,33,48bqj6TqVms,136365,189.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9379,10051,2018-02-08,福井の大雪・立ち往生2日目の朝 2018.2.7,usshiusshiusshi,22,[none],136365,390,64,415.0,https://i.ytimg.com/vi/48bqj6TqVms/default.jpg,False,False,False,2018-02-06,2.0,0.14096916299559473,0.8590308370044053,2.9812167558020426
69,35,oXd60ArCFrE,1306752,2329910.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10939,11713,2018-02-08,【悲報】てつやの愛車BMWが大破してしまいました…,東海オンエアの控え室,23,[none],1306752,28075,1214,8731.0,https://i.ytimg.com/vi/oXd60ArCFrE/default.jpg,False,False,False,2018-02-06,2.0,0.041449008160060086,0.95855099183994,3.1853218659431435
73,36,4WFStwCSdqM,444621,871622.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15975,17185,2018-02-08,乃木坂46白石麻衣、西野七瀬らがクールな男装姿に！メンズスーツ着こなしダンスも　 「はるやま/P.S.FA フレッシャーズキャンペーン」新CMが公開,maidigitv,24,"maidigitv|""乃木坂46""|""白石麻衣""|""西野七瀬""|""生田絵梨花""|""若月佑美""|""松村沙友理""|""高山一実""|""芸能""|""アイドル""|""mantan""|""CM""",444621,6736,293,1812.0,https://i.ytimg.com/vi/4WFStwCSdqM/default.jpg,False,False,False,2018-02-07,1.0,0.04168445013515437,0.9583155498648456,5.129262224592713
77,41,4lISApbG9Ek,34854,14750.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12609,13552,2018-02-08,小池徹平・加藤和樹のロナンが帰ってくる！ ミュージカル「1789」製作発表レポート,エントレ 演劇動画チャンネル,24,"ミュージカル|""1789""|""バスティーユの恋人たち""|""小池修一郎""|""小池徹平""|""加藤和樹""|""神田沙也加""|""夢咲ねね""|""凰稀かなめ""|""龍真咲""|""三浦涼介""|""上原理生""|""渡辺大輔""|""ソニン""|""吉野圭吾""|""坂元健児""|""広瀬友祐""|""岡 幸二郎""|""帝国劇場""|""新歌舞伎座""|""博多座""|""舞台""|""演劇""|""公演""|""芝居""|""製作発表""|""歌""|""エントレ""",34854,405,13,28.0,https://i.ytimg.com/vi/4lISApbG9Ek/default.jpg,False,False,False,2018-02-07,1.0,0.031100478468899517,0.9688995215311004,3.7775183858659713
81,42,y4Id2KGDbb8,88496,344556.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13893,14931,2018-02-08,アイドリッシュセブン Vibrato - OFFICIAL TRAILER,Bandai Visual,24,"別所誠人|""種村有菜""|""2018年1月""|""アイドリッシュセブン""|""アイナナ""|""i7""|""IDOLiSH7""|""アイドリッシュ""|""TRIGGER""|""トリガー""|""一織""|""大和""|""三月""|""環""|""壮五""|""ナギ""|""陸""|""楽""|""天""|""龍之介""|""小鳥遊""|""紡.万里""|""和泉一織""|""増田俊樹""|""二階堂大和""|""白井悠介""|""和泉三月""|""代永翼""|""四葉環""|""KENN""|""逢坂壮五""|""阿部敦""|""六弥ナギ""|""江口拓也""|""七瀬 陸""|""小野賢章""|""八乙女楽""|""羽多野渉""|""九条天""|""斉藤壮馬""|""十龍之介""|""佐藤拓也""|""小鳥遊音晴""|""千葉進歩""|""大神万理""|""興津和幸""|""小鳥遊紡""|""佐藤聡美""|""八乙女宗助""|""小西克幸""|""姉鷺カオル""|""川原慶久""|""1月新番""|""アニメ""|""アイドル""|""TROYCA""",88496,5714,36,266.0,https://i.ytimg.com/vi/y4Id2KGDbb8/default.jpg,False,False,False,2018-02-07,1.0,0.006260869565217393,0.9937391304347826,1.964706438013836
85,44,palw25wDVnA,13608,106229.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2840,3035,2018-02-08,まさかの展開！集まって来る猫たちは何をしてた？皆さんもお考え下さい,Afro Blue,15,"猫|""ねこ""|""ネコ""|""仲良し""|""可愛い""|""かわいい""|""鳴き声""|""猫の鳴き声""|""可愛い鳴き声""|""ゴロゴロ""|""喉を鳴らす""|""おもしろ猫""|""猫おもしろ""|""懐く""|""人懐こい""|""和む""|""癒し""|""甘える""|""甘えっこ""|""撫でる""|""ナデナデ""|""会話""|""可笑しい""|""笑える""|""テリトリー""|""縄張り""|""威嚇""|""猫パンチ""|""Afro Blue""|""Cats""|""funny""|""cute""|""unique""|""Animal""|""Animals""|""Pets""|""mew""|""meow""|""friendship""|""talking cat""|""オス猫""|""本能""|""行動""|""メス猫""|""アタック""|""求愛""",13608,544,29,39.0,https://i.ytimg.com/vi/palw25wDVnA/default.jpg,False,False,False,2018-02-07,1.0,0.0506108202443281,0.949389179755672,3.916774730886365
89,46,9vfxkTTSKJ4,10467,91664.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10343,11111,2018-02-08,移ろい行く凝塊 521,SHIN GEN,23,"UFO|""Alien""|""Moon""|""Earth""|""Planet""|""Apollo""|""Lunar""|""謎""|""ミステリー""|""mysterious""|""科学""|""地球外生命体""|""宇宙人""|""未確認飛行物体""|""円盤""|""エイリアン""|""宇宙船""|""starship""|""人工物""|""Artifact""|""googlemoon""|""googleearth""|""正体不明""|""ロズウェル""|""エリア51""|""タイムマシン""|""月""|""月面""|""空飛ぶ円盤""|""心霊""|""幽霊""|""オカルト""|""都市伝説""|""超常現象""|""NASA""|""宇宙飛行士""|""アポロ""|""火星""|""Mars""|""土星""|""SHINGEN""|""しんげん""|""singen""|""信玄""|""shingen""|""知的好奇心""|""CLUB""|""base""|""南極""|""聖書""|""平面説""|""思考""|""ニビル""|""惑星X""|""アヌンナキ""|""AI""|""人工知能""",10467,184,28,81.0,https://i.ytimg.com/vi/9vfxkTTSKJ4/default.jpg,False,False,False,2018-02-07,1.0,0.1320754716981132,0.8679245283018868,1.9878953145625344
93,47,V1YAomM4_G4,10616,62333.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18237,19575,2018-02-08,【UVレジン 100均】花と蝶のモチーフ入れて球体作ってみたら…   resin,TKM channel,26,"UVレジン|""レジン""|""100均""|""初心者""|""アクセサリー""|""ネックレス""|""ペンダント""|""ピアス""|""イヤリング""|""球体""|""TKMchannel""|""resin""|""DYI""|""作り方""|""セリア""|""ダイソー""|""花""|""蝶""",10616,207,27,44.0,https://i.ytimg.com/vi/V1YAomM4_G4/default.jpg,False,False,False,2018-02-07,1.0,0.1153846153846154,0.8846153846153846,3.911846021722335
97,49,dol3ryJcsio,127915,58689.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9336,10006,2018-02-08,ジョンレノ、東京湾に沈む。,ジ・エンド,22,"ジ・エンド|""ジエンド""|""じエンド""|""じ、えんど""|""ジ、エンド""|""ジ.エンド""",127915,2793,7306,896.0,https://i.ytimg.com/vi/dol3ryJcsio/default.jpg,False,False,False,2018-02-07,1.0,0.7234379641548668,0.2765620358451332,2.110777441188488
101,50,VAL1khzhGQw,2314506,2070670.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5491,5887,2018-02-08,Golden State Warriors vs Oklahoma City Thunder Full Game Highlights / Feb 6 / 2017-18 NBA Season,MLG Highlights,17,"mlg highlights|""mlg""|""basketball""|""highlights""|""sports""|""plays""|""nba""|""nba highlights""|""game highlights""|""golden state warriors""|""oklahoma city thunder""|""thunder""|""warriors""|""gs warriors vs thunder""|""thunder vs warriors""|""warriors vs thunder""|""gsw""|""gs warriors""|""okc thunder""|""thunder vs gs warriors full game highlights""|""gs warriors vs thunder full game highlights""|""golden state warriors vs oklahoma city thunder highlights""|""golden state warriors vs oklahoma city thunder full game highlights""",2314506,14001,706,4183.0,https://i.ytimg.com/vi/VAL1khzhGQw/default.jpg,False,False,False,2018-02-07,1.0,0.04800435166927314,0.9519956483307268,3.915381993688402
105,51,D3UgKhoZbSI,61152,255660.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3410,3624,2018-02-08,カメラ三脚を手に入れた飼い主に付き合わされるシベリアンハスキー,プピプピ文太,15,"シベリアンハスキー|""Siberian Husky""|""文太""|""犬""|""dog""",61152,1378,36,191.0,https://i.ytimg.com/vi/D3UgKhoZbSI/default.jpg,False,False,False,2018-02-07,1.0,0.02545968882602546,0.9745403111739744,3.30732974679394
109,53,HaZzVUBlEGE,57668,651453.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3393,3605,2018-02-08,雪とまるとはな。-Snow and Maru&Hana.-,mugumogu,15,"Maru|""cat""|""kitty""|""pets""|""まる""|""猫""|""ねこ""",57668,2954,24,223.0,https://i.ytimg.com/vi/HaZzVUBlEGE/default.jpg,False,False,False,2018-02-07,1.0,0.008059100067159167,0.9919408999328408,2.8533780745332464
113,55,QghTQMLZvTo,41437,751943.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17457,18736,2018-02-08,台湾でM6.0地震　ホテルなど複数の建物が倒壊(18/02/07),ANNnewsCH,25,"ニュース|""NEWS""|""ANN""|""テレビ朝日""|""テレ朝""|""tvasahi""|""TV ASAHI""|""▲▲""|""島本真衣""|""吉野真治""|""台湾""|""震源""|""マグニチュード""|""地震""|""ビル""|""倒壊""|""死亡""",41437,104,20,0.0,https://i.ytimg.com/vi/QghTQMLZvTo/default.jpg,True,False,False,2018-02-06,2.0,0.16129032258064516,0.8387096774193549,3.762364434710657
117,56,RdveHyJ7kjk,63490,1030494.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18519,19859,2018-02-08,1400人の男性がNo.1に選んだ生チョコ作ってみた!!! パヴェ・ドゥ・ショコラ,cook kafemaru,26,"Ganache Valentine chocolate|""ganache San Valentino cioccolato""|""ganache Valentine cokelat""|""ganache Valentine choklad""|""ganache Enamorado chocolate""|""Ganache การ์ดแสดงความรัก ช็อคโกแลต""|""phủ sô cô la Valentine sô cô la""|""ganache namorados chocolate""|""가나슈 애인 초콜릿""",63490,3417,21,260.0,https://i.ytimg.com/vi/RdveHyJ7kjk/default.jpg,False,False,False,2018-02-07,1.0,0.006108202443280977,0.9938917975567192,3.98715570497636
121,58,Wb2TT6X0CKc,344412,316963.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15750,16942,2018-02-08,ピーとれ！#41,でちゃう! WEBちゃんねる,24,"髭原人|""スロット""|""パチスロ""|""でちゃう!""|""ピーとれ！""|""ピートレックマーメイド""|""五反田""|""ハーデス""|""ハナビ""|""万枚""|""GOD""",344412,5750,535,1806.0,https://i.ytimg.com/vi/Wb2TT6X0CKc/default.jpg,False,False,False,2018-02-06,2.0,0.08512330946698489,0.9148766905330152,1.7295503832043568
125,62,MnQYdnYWCPQ,122972,100264.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3593,3822,2018-02-08,秋田犬まだ子犬なので戸を開ける能力は無い【akita dog puppy】,秋田犬げんき,15,"秋田犬|""げんき""|""akita""|""inu""|""dog""|""Akita (dog)""|""子犬""|""puppy""|""ゆうき""",122972,3505,49,209.0,https://i.ytimg.com/vi/MnQYdnYWCPQ/default.jpg,False,False,False,2018-02-06,2.0,0.013787281935846931,0.9862127180641532,3.735262570819316
129,63,J5T6Y4YDkGg,7634,21403.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18200,19535,2018-02-08,【作り方】簡単！オリジナル手帳カバー,Stea craft /エスティークラフト,26,"ハンドメイド|""手作り""|""おすそ分けファイル""|""紙もの""|""文房具""|""100均""|""ダイソー""|""handmade""|""手帳""|""手帳カバー""|""プランナー""",7634,177,14,7.0,https://i.ytimg.com/vi/J5T6Y4YDkGg/default.jpg,False,False,False,2018-02-07,1.0,0.07329842931937172,0.9267015706806284,2.2047427865484286
133,64,DHEgmES0HfU,72459,376285.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13582,14596,2018-02-08,テラスハウス オープニング ニュー ドアーズ 山チャンネル Vol.7「正直に言います、尊敬してます」,Netflix Japan,24,"ネットフリックス|""ネトフリ""|""半田悠人""|""NETFLIX""|""テラスハウス""|""テラハ""|""TERRACE HOUSE""|""山チャンネル""|""山ちゃん""|""Yama Channel""|""山里""|""天の声""|""山里亮太""|""南海キャンディーズ""|""YOU""|""トリンドル玲奈""|""徳井義実""|""チュートリアル""|""馬場園梓""|""アジアン""|""健太郎""|""アロハステート""|""ローレン サイ""|""鮎澤悠介""|""澁澤侑哉""|""フランク奈緒美ロレイン""|""エリック デ メンドンサ""|""エビアン クー""|""羽石杏奈""|""玉城大志""|""佐藤魁""|""丹羽仁希""|""シェリー マリア 澄川 ラボエ""|""中嶋ウェスリー""|""長谷川ジェニファーミラ""|""福山智可子""|""新田満理子""|""関川良""|""軽井沢""|""小室安未""|""治田みずき""|""佐藤つば冴""|""岡本至恩""|""中村貴之""|""新井雄大""",72459,575,25,250.0,https://i.ytimg.com/vi/DHEgmES0HfU/default.jpg,False,False,False,2018-02-06,2.0,0.04166666666666666,0.9583333333333334,3.825150339449887
137,66,7UQSgAjKYdk,114223,652980.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14322,15402,2018-02-08,【7th WEEK】 みずき、元恋人に「早く会いたい…」,TERRACE HOUSE / テラスハウス,24,"TERRACE HOUSE|""テラスハウス""|""テラハ""|""映画""|""劇場版""|""NETFLIX""|""ネットフリックス""|""バレンタイン""|""バイバイ""|""菅谷哲也""|""島袋聖南""|""松川佑依子""|""小田部仁""|""和泉真弥""|""今井洋介""|""今井華""|""筧美和子""|""湯川正人""|""宮城大樹""|""クロージングドア""|""太田出版""|""クイックジャパン""|""桑沢デザイン""|""ロコマート""|""小嶋さん""|""PASSO""|""パッソ""|""北原里英""|""竹内桃子""|""中津川翔太""|""小貫智恵""|""島一平""|""マグ万平""|""地球""|""伊東大輝""|""山中美智子""|""保田賢也""|""フランキー""|""平澤遼子""|""長谷川慎""|""中田みのり""|""安達雄基""|""信太美月""|""内原達也""|""早田悠里子""|""新シーズン""|""アーマン""|""アルマン""|""ビタラフ""|""大畑ありさ""|""鮎澤悠介""|""澁澤侑哉""|""エリックデメンドンサ""|""エビアンクー""|""奈緒美フランクロレイン""|""ローレンサイ""|""玉城大志""|""佐藤魁""|""中嶋ウェスリー""|""羽石杏奈""|""丹羽仁希""|""シェリーマリア澄川ラボエ""|""福山智可子""|""長谷川ジェニファーミラ""|""関川良""|""新田満里子""|""TERRACE HOUSE OPENING NEW DOORS""|""オープニングニュードアーズ""|""OND""|""軽井沢""",114223,332,128,0.0,https://i.ytimg.com/vi/7UQSgAjKYdk/default.jpg,True,False,False,2018-02-06,2.0,0.2782608695652174,0.7217391304347827,3.3452386387243744
141,67,3Xn7nGqiJCU,957641,6604013.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16430,17660,2018-02-08,Why Trump Doesn't Want To Talk To Robert Mueller,The Late Show with Stephen Colbert,24,"The Late Show|""Stephen Colbert""|""Colbert""|""Late Show""|""celebrities""|""late night""|""talk show""|""skits""|""bit""|""monologue""|""The Late Late Show""|""Late Late Show""|""letterman""|""david letterman""|""comedian""|""impressions""|""CBS""|""joke""|""jokes""|""funny""|""funny video""|""funny videos""|""humor""|""celebrity""|""celeb""|""hollywood""|""famous""|""James Corden""|""Corden""|""Comedy""|""Monologue""|""Politics""|""Nonrecurring""|""Topical""|""Robert Mueller""",957641,14094,267,1036.0,https://i.ytimg.com/vi/3Xn7nGqiJCU/default.jpg,False,False,False,2018-02-07,1.0,0.01859202005431377,0.9814079799456862,2.9665896995907617
145,71,NwkoKEOUYaA,12442,33745.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2807,2997,2018-02-08,猫の噛み癖が治ったと錯覚したあの夜,コロン BB,15,"コロンBB|""ライス""|""猫""|""子猫""|""子供""|""面白""|""癒し""|""可愛い""|""ぬこ""|""にゃんこ""|""動物""|""アニマル""|""CAT""",12442,570,6,103.0,https://i.ytimg.com/vi/NwkoKEOUYaA/default.jpg,False,False,False,2018-02-07,1.0,0.010416666666666666,0.9895833333333334,3.1642705552597032
149,72,T17xaPhX5dU,10068,13168.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11638,12485,2018-02-08,2/6!!1日千円!!インを頼りに今日も勝つ!!【競艇エブリディ029】,競艇エブリディ,24,"競艇|""競艇予想""|""ギャンブル""|""ボートレース""|""競馬""|""競艇エブリディ""|""一日千円""|""やまと学校""|""ボートレーサー""|""高額当選""|""大勝負""",10068,121,13,44.0,https://i.ytimg.com/vi/T17xaPhX5dU/default.jpg,False,False,False,2018-02-06,2.0,0.09701492537313433,0.9029850746268656,3.7284758249105603
153,73,2X6O10gGfzQ,7198,153389.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18190,19523,2018-02-08,AND MESHのiPhoneX用ケースが新発売！やっと出た人気メッシュデザイン,Appleが大好きなんだよ,26,"iPhone X|""AND MESH""|""アンドメッシュ""|""グラデーション""|""iPhoneケース""",7198,112,17,72.0,https://i.ytimg.com/vi/2X6O10gGfzQ/default.jpg,False,False,False,2018-02-07,1.0,0.13178294573643412,0.8682170542635659,3.6341070600660728
157,74,A04PARdtEss,33053,150642.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12555,13494,2018-02-09,「クソ野郎と美しき世界」特報映像！,新しい地図,24,[none],33053,2789,16,53.0,https://i.ytimg.com/vi/A04PARdtEss/default.jpg,False,False,False,2018-02-09,0.0,0.0057040998217468795,0.9942959001782532,2.5643601887693905
160,75,S-xBo-o6Ky0,31920,371.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12523,13461,2018-02-09,乃木坂46 白石麻衣の天狗な態度に炎上 Nogizaka46 Shiraishi Mai,Lfizva,24,乃木坂46,31920,102,226,244.0,https://i.ytimg.com/vi/S-xBo-o6Ky0/default.jpg,False,False,False,2018-02-09,0.0,0.6890243902439024,0.3109756097560976,3.391227687903673
166,78,hNg2uOe28ak,112230,763583.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2109,2257,2018-02-09,Mr.Children 「here comes my love」Music Short Film,MrChildren,10,"Mr.Children|""ミスターチルドレン""|""ミスチル""|""here comes my love""|""ヒアカムズマイラブ""|""ひあかむずまいらぶ""|""主題歌""|""桜井和寿""|""田原健一""|""中川敬輔""|""鈴木英哉""|""隣の家族は青く見える""",112230,6109,50,536.0,https://i.ytimg.com/vi/hNg2uOe28ak/default.jpg,False,False,False,2018-02-08,1.0,0.008118201006656925,0.9918817989933432,2.9560222075171314
